classifier,true_positive,false_positive,false_negative
def,6,0,0
al2,3,0,0
tre,1,0,3
al2,2,0,2
alt,3,0,0
al2,7,0,0
tre,4,0,3
al2,6,0,0
alt,7,0,0
alt,2,0,2
tre,2,0,1
tre,3,0,3
def,7,1,0
alt,6,0,0
def,2,0,2
def,3,0,0
def,6,0,1
al2,9,0,0
alt,9,0,0
al2,8,1,0
tre,4,0,4
al2,7,0,0
alt,8,1,0
tre,7,0,2
tre,4,0,3
def,8,1,0
alt,7,0,0
def,9,0,0
def,6,0,1
al2,8,0,0
tre,1,0,2
al2,2,0,1
alt,8,0,0
al2,8,0,0
tre,4,0,4
al2,7,0,0
alt,8,0,0
alt,2,0,1
tre,7,0,1
tre,3,0,4
def,8,0,0
alt,7,0,0
def,2,0,1
def,8,1,0
alt,7,0,0
def,6,1,0
al2,9,0,0
tre,4,0,4
al2,8,0,1
alt,8,0,1
tre,3,0,4
al2,7,0,1
def,8,0,1
alt,9,0,0
al2,7,0,1
tre,4,0,4
al2,6,1,0
tre,5,0,4
alt,7,0,1
al2,7,0,0
alt,8,0,0
tre,4,0,5
tre,4,0,2
def,7,1,1
alt,6,0,0
def,7,1,1
def,9,0,0
def,7,0,0
def,6,1,0
al2,8,0,0
alt,8,0,0
al2,7,0,1
tre,4,0,4
al2,6,0,0
alt,7,0,1
tre,6,0,2
tre,4,0,2
def,7,0,1
alt,6,1,0
def,8,0,0
def,7,0,1
al2,6,0,0
alt,6,0,0
al2,6,0,2
tre,1,0,7
al2,7,0,1
alt,7,0,1
tre,2,0,4
tre,6,0,2
def,7,1,1
alt,7,0,1
def,5,0,1
def,5,0,0
al2,8,0,0
alt,8,0,0
al2,7,0,0
tre,5,0,2
al2,5,0,0
alt,7,0,0
tre,5,0,3
tre,2,0,3
def,7,0,0
alt,5,0,0
def,8,0,0
def,7,1,0
al2,8,2,0
alt,8,1,0
al2,7,0,1
tre,5,0,3
al2,7,0,0
alt,8,0,0
tre,4,0,4
tre,2,0,5
def,8,0,0
alt,7,0,0
def,8,0,0
def,6,0,1
al2,9,0,0
tre,2,0,2
al2,4,0,0
alt,9,0,0
al2,7,0,0
tre,4,0,3
al2,6,0,1
alt,7,0,0
alt,4,0,0
tre,5,0,4
tre,3,0,4
def,7,0,0
alt,6,0,1
def,4,0,0
def,9,1,0
def,8,1,0
al2,7,0,1
alt,7,0,1
al2,7,0,1
tre,5,0,3
al2,8,0,0
alt,7,0,1
tre,5,0,3
tre,5,0,3
def,7,0,1
alt,8,0,0
def,7,0,1
def,8,0,0
al2,8,0,0
tre,0,0,3
al2,3,0,0
alt,8,1,0
al2,8,0,0
tre,5,0,3
al2,8,0,0
alt,8,0,0
alt,3,0,0
tre,8,0,0
tre,4,0,4
def,8,0,0
alt,8,0,0
def,2,0,1
def,8,0,0
def,5,0,1
al2,5,0,0
alt,5,0,0
al2,6,0,0
tre,2,0,4
al2,5,0,1
alt,6,0,0
tre,1,0,4
tre,2,0,4
def,6,0,0
alt,5,0,1
def,5,0,0
def,6,1,0
al2,2,0,2
alt,2,0,2
al2,6,0,0
tre,4,0,2
al2,6,0,0
alt,6,0,0
tre,1,0,3
tre,4,0,2
def,6,1,0
alt,6,0,0
def,2,0,2
def,4,0,1
al2,5,0,1
tre,2,0,4
al2,3,0,2
alt,5,0,1
tre,1,0,4
def,5,0,1
alt,3,0,2
def,4,0,1
al2,2,0,1
tre,1,0,2
al2,4,0,1
alt,2,0,1
tre,1,0,4
def,2,0,1
alt,4,0,1
def,4,0,2
al2,5,0,0
alt,3,0,2
al2,4,0,2
tre,1,0,5
al2,4,0,2
alt,4,0,2
tre,1,0,4
tre,2,0,4
def,4,0,2
alt,4,0,2
def,5,0,0
def,4,0,2
al2,4,0,3
alt,3,0,4
al2,3,0,1
tre,1,0,3
al2,4,0,2
alt,3,0,1
tre,0,0,7
tre,0,0,6
def,2,0,2
alt,3,0,3
def,5,0,2
def,5,0,0
al2,5,0,0
alt,5,0,0
al2,3,0,0
tre,0,0,3
al2,5,0,0
alt,3,0,0
tre,2,0,3
tre,1,0,4
def,3,0,0
alt,5,0,0
def,5,0,0
def,8,0,0
al2,5,0,1
tre,2,0,4
al2,8,0,0
alt,6,0,0
tre,3,0,5
def,6,1,0
alt,7,0,1
def,5,1,3
al2,1,0,0
alt,1,0,0
al2,5,0,3
tre,2,0,6
al2,5,0,3
alt,5,0,3
tre,0,0,1
tre,3,0,5
def,4,1,4
alt,5,0,3
def,1,1,0
def,4,0,1
al2,4,0,1
alt,4,0,1
al2,3,0,1
tre,1,0,3
al2,4,0,1
alt,3,0,1
tre,1,0,4
tre,1,0,4
def,2,0,2
alt,4,0,1
def,4,0,1
def,5,1,2
al2,4,0,0
tre,0,0,3
al2,2,0,1
alt,4,0,0
al2,5,0,1
tre,1,0,5
al2,5,0,2
alt,5,0,1
alt,2,0,1
tre,2,0,2
tre,2,0,5
def,5,0,1
alt,5,0,2
def,2,0,1
def,3,0,1
